place_id,slot,date,time,rater,weather,temp_f,lux,kelvin,db_mean,db_peak,db_variability,seats_total,seats_occupied,people_visible,enclosure,complexity,greenery,daylight,seat_comfort,privacy,talk_ok,thermal,outlets,wifi,food_drink,restroom,table_surface,back_to_wall,photo_wide,photo_pov,photo_light,notes
p37,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p37,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p37,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p37,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p38,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p38,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p38,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p38,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p38,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p39,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p39,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p39,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p39,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p39,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p40,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p40,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p40,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p40,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p40,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p41,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p41,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
